zip,city,county
11368,Corona,Queens County
11208,Brooklyn,Kings County
11385,Ridgewood,Queens County
11373,Elmhurst,Queens County
11226,Brooklyn,Kings County
11236,Brooklyn,Kings County
10467,Bronx,Bronx County
10025,New York,New York County
11207,Brooklyn,Kings County
10314,Staten Island,Richmond County
11220,Brooklyn,Kings County
11219,Brooklyn,Kings County
11221,Brooklyn,Kings County
11214,Brooklyn,Kings County
11230,Brooklyn,Kings County
11234,Brooklyn,Kings County
11206,Brooklyn,Kings County
10456,Bronx,Bronx County
11377,Woodside,Queens County
11212,Brooklyn,Kings County
11233,Brooklyn,Kings County
11235,Brooklyn,Kings County
10458,Bronx,Bronx County
10468,Bronx,Bronx County
11229,Brooklyn,Kings County
11204,Brooklyn,Kings County
10453,Bronx,Bronx County
11223,Brooklyn,Kings County
10457,Bronx,Bronx County
11355,Flushing,Queens County
10452,Bronx,Bronx County
11203,Brooklyn,Kings County
10462,Bronx,Bronx County
10002,New York,New York County
10029,New York,New York County
11375,Forest Hills,Queens County
11218,Brooklyn,Kings County
10466,Bronx,Bronx County
11215,Brooklyn,Kings County
10469,Bronx,Bronx County
11209,Brooklyn,Kings County
11691,Far Rockaway,Queens County
10463,Bronx,Bronx County
11201,Brooklyn,Kings County
11213,Brooklyn,Kings County
11434,Jamaica,Queens County
11372,Jackson Heights,Queens County
10027,New York,New York County
10023,New York,New York County
11211,Brooklyn,Kings County
10472,Bronx,Bronx County
11432,Jamaica,Queens County
10312,Staten Island,Richmond County
11210,Brooklyn,Kings County
10024,New York,New York County
11216,Brooklyn,Kings County
10031,New York,New York County
10032,New York,New York County
10473,Bronx,Bronx County
11435,Jamaica,Queens County
10460,Bronx,Bronx County
10033,New York,New York County
11225,Brooklyn,Kings County
10009,New York,New York County
11238,Brooklyn,Kings County
10128,New York,New York County
10306,Staten Island,Richmond County
10016,New York,New York County
10003,New York,New York County
11354,Flushing,Queens County
10459,Bronx,Bronx County
10451,Bronx,Bronx County
11420,South Ozone Park,Queens County
10461,Bronx,Bronx County
10011,New York,New York County
11205,Brooklyn,Kings County
11419,South Richmond Hill,Queens County
11224,Brooklyn,Kings County
11374,Rego Park,Queens County
11237,Brooklyn,Kings County
11365,Fresh Meadows,Queens County
10465,Bronx,Bronx County
10028,New York,New York County
11249,Brooklyn,Kings County
10304,Staten Island,Richmond County
11413,Springfield Gardens,Queens County
10455,Bronx,Bronx County
11228,Brooklyn,Kings County
10040,New York,New York County
10475,Bronx,Bronx County
11367,Flushing,Queens County
11217,Brooklyn,Kings County
11357,Whitestone,Queens County
10019,New York,New York County
10305,Staten Island,Richmond County
10034,New York,New York County
11421,Woodhaven,Queens County
10454,Bronx,Bronx County
10021,New York,New York County
11412,Saint Albans,Queens County
10301,Staten Island,Richmond County
11106,Astoria,Queens County
11222,Brooklyn,Kings County
11378,Maspeth,Queens County
11433,Jamaica,Queens County
11231,Brooklyn,Kings County
11105,Astoria,Queens County
10035,New York,New York County
11418,Richmond Hill,Queens County
10026,New York,New York County
11379,Middle Village,Queens County
11364,Oakland Gardens,Queens County
11358,Flushing,Queens County
11103,Astoria,Queens County
10309,Staten Island,Richmond County
11101,Long Island City,Queens County
10022,New York,New York County
10010,New York,New York County
11422,Rosedale,Queens County
11369,East Elmhurst,Queens County
10030,New York,New York County
11417,Ozone Park,Queens County
10036,New York,New York County
10065,New York,New York County
11414,Howard Beach,Queens County
10308,Staten Island,Richmond County
11423,Hollis,Queens County
10039,New York,New York County
11361,Bayside,Queens County
10014,New York,New York County
10013,New York,New York County
11370,East Elmhurst,Queens County
11232,Brooklyn,Kings County
11429,Queens Village,Queens County
11416,Ozone Park,Queens County
11356,College Point,Queens County
10303,Staten Island,Richmond County
11102,Astoria,Queens County
10001,New York,New York County
11104,Sunnyside,Queens County
10310,Staten Island,Richmond County
11427,Queens Village,Queens County
11692,Arverne,Queens County
10075,New York,New York County
10038,New York,New York County
10471,Bronx,Bronx County
11694,Rockaway Park,Queens County
11436,Jamaica,Queens County
11411,Cambria Heights,Queens County
10012,New York,New York County
11415,Kew Gardens,Queens County
11426,Bellerose,Queens County
11360,Bayside,Queens County
11428,Queens Village,Queens County
10037,New York,New York County
10302,Staten Island,Richmond County
11362,Little Neck,Queens County
11239,Brooklyn,Kings County
11004,Glen Oaks,Queens County
10470,Bronx,Bronx County
10307,Staten Island,Richmond County
10017,New York,New York County
11366,Fresh Meadows,Queens County
11693,Far Rockaway,Queens County
10044,New York,New York County
10474,Bronx,Bronx County
10280,New York,New York County
10005,New York,New York County
10018,New York,New York County
10007,New York,New York County
11363,Little Neck,Queens County
11109,Long Island City,Queens County
10282,New York,New York County
10069,New York,New York County
10004,New York,New York County
10464,Bronx,Bronx County
11697,Breezy Point,Queens County
10006,New York,New York County
11005,Floral Park,Queens County
11439,Jamaica,Queens County
10162,New York,New York County
11430,Jamaica,Queens County
10279,New York,New York County
10020,New York,New York County
10103,New York,New York County
10110,New York,New York County
10111,New York,New York County
10112,New York,New York County
10115,New York,New York County
10119,New York,New York County
10152,New York,New York County
10153,New York,New York County
10154,New York,New York County
10165,New York,New York County
10167,New York,New York County
10168,New York,New York County
10169,New York,New York County
10170,New York,New York County
10171,New York,New York County
10172,New York,New York County
10173,New York,New York County
10174,New York,New York County
10177,New York,New York County
10199,New York,New York County
10271,New York,New York County
10278,New York,New York County
10311,Staten Island,Richmond County
11359,Bayside,Queens County
11371,Flushing,Queens County
11424,Jamaica,Queens County
11451,Jamaica,Queens County
